kana,kanji,romaji,vietnamese,audio
とし,年,toshi,"tuổi, năm tuổi",[sound:lesson-05-001.mp3]
ねんれい,年齢,nenrei,tuổi tác,[sound:lesson-05-002.mp3]
さい,歳,sai,tuổi,[sound:lesson-05-003.mp3]
なんさい,何歳,nansai,mấy tuổi,[sound:lesson-05-004.mp3]
おいくつ,,oikutsu,bao nhiêu tuổi (lịch sự),[sound:lesson-05-005.mp3]
まん,満,man,"tròn, đủ (tuổi)",[sound:lesson-05-006.mp3]
みまん,未満,miman,"chưa đến, dưới mức",[sound:lesson-05-007.mp3]
いっさい,一歳,issai,một tuổi,[sound:lesson-05-008.mp3]
にさい,二歳,nisai,hai tuổi,[sound:lesson-05-009.mp3]
さんさい,三歳,sansai,ba tuổi,[sound:lesson-05-010.mp3]
よんさい,四歳,yonsai,bốn tuổi,[sound:lesson-05-011.mp3]
ごさい,五歳,gosai,năm tuổi,[sound:lesson-05-012.mp3]
ろくさい,六歳,rokusai,sáu tuổi,[sound:lesson-05-013.mp3]
ななさい,七歳,nanasai,bảy tuổi,[sound:lesson-05-014.mp3]
はっさい,八歳,hassai,tám tuổi,[sound:lesson-05-015.mp3]
きゅうさい,九歳,kyuusai,chín tuổi,[sound:lesson-05-016.mp3]
じゅっさい,十歳,jussai,mười tuổi,[sound:lesson-05-017.mp3]
じゅういっさい,十一歳,juuissai,mười một tuổi,[sound:lesson-05-018.mp3]
じゅうにさい,十二歳,juunisai,mười hai tuổi,[sound:lesson-05-019.mp3]
じゅうさんさい,十三歳,juusansai,mười ba tuổi,[sound:lesson-05-020.mp3]
じゅうよんさい,十四歳,juuyonsai,mười bốn tuổi,[sound:lesson-05-021.mp3]
じゅうごさい,十五歳,juugosai,mười lăm tuổi,[sound:lesson-05-022.mp3]
じゅうろくさい,十六歳,juurokusai,mười sáu tuổi,[sound:lesson-05-023.mp3]
じゅうななさい,十七歳,juunanasai,mười bảy tuổi,[sound:lesson-05-024.mp3]
じゅうはっさい,十八歳,juuhassai,mười tám tuổi,[sound:lesson-05-025.mp3]
じゅうきゅうさい,十九歳,juukyuusai,mười chín tuổi,[sound:lesson-05-026.mp3]
はたち,二十歳,hatachi,hai mươi tuổi,[sound:lesson-05-027.mp3]
にじゅういっさい,二十一歳,nijuuissai,hai mươi mốt tuổi,[sound:lesson-05-028.mp3]
さんじゅっさい,三十歳,sanjussai,ba mươi tuổi,[sound:lesson-05-029.mp3]
よんじゅっさい,四十歳,yonjussai,bốn mươi tuổi,[sound:lesson-05-030.mp3]
ごじゅっさい,五十歳,gojussai,năm mươi tuổi,[sound:lesson-05-031.mp3]
ろくじゅっさい,六十歳,rokujussai,sáu mươi tuổi,[sound:lesson-05-032.mp3]
こども,子供,kodomo,trẻ em,[sound:lesson-05-033.mp3]
あかちゃん,赤ちゃん,akachan,em bé,[sound:lesson-05-034.mp3]
ようじ,幼児,youji,trẻ nhỏ,[sound:lesson-05-035.mp3]
おとな,大人,otona,người lớn,[sound:lesson-05-036.mp3]
せいじん,成人,seijin,người thành niên,[sound:lesson-05-037.mp3]
みせいねん,未成年,miseinen,vị thành niên,[sound:lesson-05-038.mp3]
わかもの,若者,wakamono,người trẻ,[sound:lesson-05-039.mp3]
ろうじん,老人,roujin,người già,[sound:lesson-05-040.mp3]
たんじょうび,誕生日,tanjoubi,sinh nhật,[sound:lesson-05-041.mp3]
たんじょう,誕生,tanjou,"sự ra đời, sinh ra",[sound:lesson-05-042.mp3]
せいねんがっぴ,生年月日,seinengappi,ngày tháng năm sinh,[sound:lesson-05-043.mp3]
としうえ,年上,toshiue,người lớn tuổi hơn,[sound:lesson-05-044.mp3]
としした,年下,toshishita,người ít tuổi hơn,[sound:lesson-05-045.mp3]
どうねんだい,同年代,dounendai,"cùng độ tuổi, cùng thế hệ tuổi",[sound:lesson-05-046.mp3]
こうれいしゃ,高齢者,koureisha,người cao tuổi,[sound:lesson-05-047.mp3]
