kana,kanji,romaji,vietnamese,audio
ここ,,koko,"chỗ này, đây",[sound:lesson-03-001.mp3]
そこ,,soko,"chỗ đó, đó",[sound:lesson-03-002.mp3]
あそこ,,asoko,"chỗ kia, kia",[sound:lesson-03-003.mp3]
どこ,,doko,"chỗ nào, đâu",[sound:lesson-03-004.mp3]
ここら,,kokora,"phía này, đằng này, chỗ này, đây (cách nói lịch sự của ""ここ"")",[sound:lesson-03-005.mp3]
そちら,,sochira,"phía đó, đằng đó, chỗ đó, đó (cách nói lịch sự của ""そこ"")",[sound:lesson-03-006.mp3]
あちら,,achira,"phía kia, đằng kia, chỗ kia, kia (cách nói lịch sự của ""あそこ"")",[sound:lesson-03-007.mp3]
どちら,,dochira,"phía nào, đằng nào, chỗ nào, đâu (cách nói lịch sự của ""どこ"")",[sound:lesson-03-008.mp3]
きょうしつ,教室,kyoushitsu,"lớp học, phòng học",[sound:lesson-03-009.mp3]
しょくどう,食堂,shokudou,nhà ăn,[sound:lesson-03-010.mp3]
じむしょ,事務所,jimusho,văn phòng,[sound:lesson-03-011.mp3]
かいぎしつ,会議室,kaigishitsu,phòng họp,[sound:lesson-03-012.mp3]
うけつけ,受付,uketsuke,"bộ phận tiếp tân, phòng thương trực",[sound:lesson-03-013.mp3]
ロビー,,robii,"hành lang, đại sảnh",[sound:lesson-03-014.mp3]
へや,部屋,heya,căn phòng,[sound:lesson-03-015.mp3]
トイレ,（おてあらい）,toire,"nhà về sinh, phòng về sinh, toa-lét",[sound:lesson-03-016.mp3]
かいだん,階段,kaidan,cầu thang,[sound:lesson-03-017.mp3]
エレベーター,,erebeetaa,thang máy,[sound:lesson-03-018.mp3]
エスカレーター,,esukareetaa,thang cuốn,[sound:lesson-03-019.mp3]
おくに,【お】国,okuni,đất nước (của anh/chị),[sound:lesson-03-020.mp3]
かいしゃ,会社,kaisha,công ty,[sound:lesson-03-021.mp3]
うち,,uchi,nhà,[sound:lesson-03-022.mp3]
でんわ,電話,denwa,"máy điện thoại, điện thoại",[sound:lesson-03-023.mp3]
くつ,,kutsu,giày,[sound:lesson-03-024.mp3]
ネクタイ,,nekutai,cà-vạt,[sound:lesson-03-025.mp3]
ワイン,,wain,rượu vang,[sound:lesson-03-026.mp3]
たばこ,,tabako,thuốc lá,[sound:lesson-03-027.mp3]
うりば,売り場,uriba,quầy bán (trong một bách hóa),[sound:lesson-03-028.mp3]
ちか,地下,chika,"tầng hầm, dưới mặt đất",[sound:lesson-03-029.mp3]
いっかい,一階,ikkai,tầng thứ nhất,[sound:lesson-03-030.mp3]
なんがい,何階,nangai,tầng mấy,[sound:lesson-03-031.mp3]
えん,円,en,yên,[sound:lesson-03-032.mp3]
いくら,,ikura,bao nhiêu tiền,[sound:lesson-03-033.mp3]
ひゃく,百,hyaku,trăm,[sound:lesson-03-034.mp3]
せん,千,sen,nghin,[sound:lesson-03-035.mp3]
まん,万,man,"mười nghin, vạn",[sound:lesson-03-036.mp3]
すみません,,sumimasen,"Xin lỗi. (cách nói lịch sự của ""です"")",[sound:lesson-03-037.mp3]
～でございます,,～degozaimasu,~. Cho tôi xem [~].,[sound:lesson-03-038.mp3]
【～を】見せてください,,【～wo】見setekudasai,Cho tôi xem [~].,[sound:lesson-03-039.mp3]
じゃ,,ja,"Thế thì, vậy thì",[sound:lesson-03-040.mp3]
【～を】ください,,【～wo】kudasai,Cho tôi [~].,[sound:lesson-03-041.mp3]
おくじょう,屋上,okujou,sân thượng,[sound:lesson-03-042.mp3]
ゆうえんち,遊園地,yuuenchi,công viên giải trí,[sound:lesson-03-043.mp3]
もりもの,催し物,morimono,"sự kiện, buổi trình diễn",[sound:lesson-03-044.mp3]
じかん,時計,jikan,đồng hồ,[sound:lesson-03-045.mp3]
めがね,眼鏡,megane,kính mắt,[sound:lesson-03-046.mp3]
カメラ,,kamera,máy ảnh,[sound:lesson-03-047.mp3]
スポーツようひん,スポーツ用品,supootsuyouhin,dụng cụ thể thao,[sound:lesson-03-048.mp3]
りょこうようひん,旅行用品,ryokouyouhin,đồ du lịch,[sound:lesson-03-049.mp3]
こどもふく,子ども服,kodomofuku,quần áo trẻ em,[sound:lesson-03-050.mp3]
おもちゃ,,omocha,đồ chơi,[sound:lesson-03-051.mp3]
ほん,本,hon,sách,[sound:lesson-03-052.mp3]
ぶんぼうぐ,文房具,bunbougu,văn phòng phẩm,[sound:lesson-03-053.mp3]
しんしふく,紳士服,shinshifuku,quần áo nam,[sound:lesson-03-054.mp3]
ふじんふく,婦人服,fujinfuku,quần áo nữ,[sound:lesson-03-055.mp3]
くつ,靴,kutsu,giày,[sound:lesson-03-056.mp3]
かばん,,kaban,"cặp sách, túi sách",[sound:lesson-03-057.mp3]
アクセサリー,,akusesarii,phụ kiện,[sound:lesson-03-058.mp3]
けしょうひん,化粧品,keshouhin,mỹ phẩm,[sound:lesson-03-059.mp3]
かぐ,家具,kagu,đồ nội thất,[sound:lesson-03-060.mp3]
しょくき,食器,shokuki,"đồ ăn (bát, đũa, ...)",[sound:lesson-03-061.mp3]
でんきせいひん,電気製品,denkiseihin,đồ điện,[sound:lesson-03-062.mp3]
しょくりょうひん,食料品,shokuryouhin,"lương thực, thực phẩm",[sound:lesson-03-063.mp3]
ちゅうしゃじょう,駐車場,chuushajou,bãi đỗ xe,[sound:lesson-03-064.mp3]
