kana,kanji,romaji,vietnamese,audio
これ,,kore,"cái này, đây; vật ở gần người nói",[sound:lesson-02-001.mp3]
それ,,sore,"cái đó, đó; vật ở gần người nghe",[sound:lesson-02-002.mp3]
あれ,,are,"cái kia, kia; vật ở xa cả người nói và người nghe",[sound:lesson-02-003.mp3]
この,,kono,~ này,[sound:lesson-02-004.mp3]
その,,sono,~ đó,[sound:lesson-02-005.mp3]
あの,,ano,~ kia,[sound:lesson-02-006.mp3]
ほん,本,hon,sách,[sound:lesson-02-007.mp3]
じしょ,辞書,jisho,từ điển,[sound:lesson-02-008.mp3]
ざっし,雑誌,zasshi,tạp chí,[sound:lesson-02-009.mp3]
しんぶん,新聞,shinbun,báo,[sound:lesson-02-010.mp3]
ノート,,nooto,vở,[sound:lesson-02-011.mp3]
てちょう,手帳,techou,sổ tay,[sound:lesson-02-012.mp3]
めいし,名刺,meishi,danh thiếp,[sound:lesson-02-013.mp3]
カード,,kaado,"thẻ, cạc",[sound:lesson-02-014.mp3]
テレホンカード,,terehonkaado,thẻ điện thoại,[sound:lesson-02-015.mp3]
えんぴつ,鉛筆,enpitsu,bút chì,[sound:lesson-02-016.mp3]
ボールペン,,boorupen,bút bi,[sound:lesson-02-017.mp3]
シャープペンシル,,shaapupenshiru,"bút chì kim, bút chì bấm",[sound:lesson-02-018.mp3]
かぎ,,kagi,chìa khóa,[sound:lesson-02-019.mp3]
とけい,時計,tokei,đồng hồ,[sound:lesson-02-020.mp3]
かさ,傘,kasa,"ô, dù",[sound:lesson-02-021.mp3]
かばん,,kaban,"cặp sách, túi sách",[sound:lesson-02-022.mp3]
カセットテープ,,kasettoteepu,băng cát-sét,[sound:lesson-02-023.mp3]
テープレコーダー,,teepurekoodaa,máy ghi âm,[sound:lesson-02-024.mp3]
テレビ,,terebi,tivi,[sound:lesson-02-025.mp3]
ラジオ,,rajio,radio,[sound:lesson-02-026.mp3]
カメラ,,kamera,máy ảnh,[sound:lesson-02-027.mp3]
コンピューター,,konpyuutaa,máy vi tính,[sound:lesson-02-028.mp3]
じどうしゃ,自動車,jidousha,"ô tô, xe hơi",[sound:lesson-02-029.mp3]
