kana,kanji,romaji,vietnamese,audio
れい,零,rei,số không,[sound:lesson-04-001.mp3]
ゼロ,,zero,số không,[sound:lesson-04-002.mp3]
いち,一,ichi,một,[sound:lesson-04-003.mp3]
に,二,ni,hai,[sound:lesson-04-004.mp3]
さん,三,san,ba,[sound:lesson-04-005.mp3]
よん,四,yon,bốn,[sound:lesson-04-006.mp3]
ご,五,go,năm,[sound:lesson-04-007.mp3]
ろく,六,roku,sáu,[sound:lesson-04-008.mp3]
なな,七,nana,bảy,[sound:lesson-04-009.mp3]
はち,八,hachi,tám,[sound:lesson-04-010.mp3]
きゅう,九,kyuu,chín,[sound:lesson-04-011.mp3]
じゅう,十,juu,mười,[sound:lesson-04-012.mp3]
じゅういち,十一,juuichi,mười một,[sound:lesson-04-013.mp3]
じゅうに,十二,juuni,mười hai,[sound:lesson-04-014.mp3]
じゅうさん,十三,juusan,mười ba,[sound:lesson-04-015.mp3]
じゅうよん,十四,juuyon,mười bốn,[sound:lesson-04-016.mp3]
じゅうご,十五,juugo,mười lăm,[sound:lesson-04-017.mp3]
じゅうろく,十六,juuroku,mười sáu,[sound:lesson-04-018.mp3]
じゅうなな,十七,juunana,mười bảy,[sound:lesson-04-019.mp3]
じゅうはち,十八,juuhachi,mười tám,[sound:lesson-04-020.mp3]
じゅうきゅう,十九,juukyuu,mười chín,[sound:lesson-04-021.mp3]
にじゅう,二十,nijuu,hai mươi,[sound:lesson-04-022.mp3]
さんじゅう,三十,sanjuu,ba mươi,[sound:lesson-04-023.mp3]
よんじゅう,四十,yonjuu,bốn mươi,[sound:lesson-04-024.mp3]
ごじゅう,五十,gojuu,năm mươi,[sound:lesson-04-025.mp3]
ろくじゅう,六十,rokujuu,sáu mươi,[sound:lesson-04-026.mp3]
ななじゅう,七十,nanajuu,bảy mươi,[sound:lesson-04-027.mp3]
はちじゅう,八十,hachijuu,tám mươi,[sound:lesson-04-028.mp3]
きゅうじゅう,九十,kyuujuu,chín mươi,[sound:lesson-04-029.mp3]
ひゃく,百,hyaku,một trăm,[sound:lesson-04-030.mp3]
さんびゃく,三百,sanbyaku,ba trăm,[sound:lesson-04-031.mp3]
ろっぴゃく,六百,roppyaku,sáu trăm,[sound:lesson-04-032.mp3]
はっぴゃく,八百,happyaku,tám trăm,[sound:lesson-04-033.mp3]
せん,千,sen,một nghìn,[sound:lesson-04-034.mp3]
さんぜん,三千,sanzen,ba nghìn,[sound:lesson-04-035.mp3]
はっせん,八千,hassen,tám nghìn,[sound:lesson-04-036.mp3]
まん,万,man,mười nghìn,[sound:lesson-04-037.mp3]
じゅうまん,十万,juuman,một trăm nghìn,[sound:lesson-04-038.mp3]
ひゃくまん,百万,hyakuman,một triệu,[sound:lesson-04-039.mp3]
いっせんまん,一千万,issenman,mười triệu,[sound:lesson-04-040.mp3]
なん,何,nan,"mấy, bao nhiêu",[sound:lesson-04-041.mp3]
かず,数,kazu,"số lượng, con số",[sound:lesson-04-042.mp3]
すうじ,数字,suuji,"chữ số, con số",[sound:lesson-04-043.mp3]
ばんごう,番号,bangou,"số, số thứ tự",[sound:lesson-04-044.mp3]
でんわばんごう,電話番号,denwabangou,số điện thoại,[sound:lesson-04-045.mp3]
へやばんごう,部屋番号,heyabangou,số phòng,[sound:lesson-04-046.mp3]
あんしょうばんごう,暗証番号,anshoubangou,"mã số, mã PIN",[sound:lesson-04-047.mp3]
けた,桁,keta,"chữ số, hàng số",[sound:lesson-04-048.mp3]
たんい,単位,tani,đơn vị,[sound:lesson-04-049.mp3]
きすう,奇数,kisuu,số lẻ,[sound:lesson-04-050.mp3]
ぐうすう,偶数,guusuu,số chẵn,[sound:lesson-04-051.mp3]
すうりょう,数量,suuryou,số lượng,[sound:lesson-04-052.mp3]
けいさん,計算,keisan,"phép tính, tính toán",[sound:lesson-04-053.mp3]
ごうけい,合計,goukei,tổng cộng,[sound:lesson-04-054.mp3]
じゅんばん,順番,junban,"thứ tự, lượt",[sound:lesson-04-055.mp3]
